"pdt" "method" "mean_coverage" "se_coverage" "mean_coverage_w" "se_coverage_w" "mean_coverage_o" "se_coverage_o"
0.1 "gp" 0.9708 0.0042 0.9702 0.0043 0.9715 0.0041
0.1 "marss" 0.057 0.0025 0.0569 0.0025 0.0572 0.0024
0.1 "s1_si_trend" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.1 "si" 0.9457 9e-04 0.9453 0.0015 0.9463 1e-04
0.1 "si_trend" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.1 "si_trend_cov" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.1 "sia" 0.9456 9e-04 0.9451 0.0015 0.9463 1e-04
0.1 "sia_trend" 0.9458 9e-04 0.9453 0.0016 0.9463 1e-04
0.1 "siap" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.3 "gp" 0.9378 0.0028 0.9378 0.0028 0.9378 0.0028
0.3 "marss" 0.0523 0.0017 0.0521 0.0017 0.0525 0.0017
0.3 "s1_si_trend" 0.9442 9e-04 0.9443 0.0014 0.944 1e-04
0.3 "si" 0.9434 9e-04 0.943 0.0015 0.944 1e-04
0.3 "si_trend" 0.9441 9e-04 0.9442 0.0013 0.944 1e-04
0.3 "si_trend_cov" 0.9441 8e-04 0.9442 0.0014 0.944 1e-04
0.3 "sia" 0.9437 0.001 0.9435 0.0015 0.944 1e-04
0.3 "sia_trend" 0.9443 9e-04 0.9445 0.0014 0.944 1e-04
0.3 "siap" 0.9443 9e-04 0.9444 0.0014 0.944 1e-04
0.5 "gp" 0.7914 0.0033 0.7913 0.0033 0.7914 0.0033
0.5 "marss" 0.0451 NA 0.0449 NA 0.0455 NA
0.5 "s1_si_trend" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "si" 0.9382 0.0011 0.9381 0.0016 0.9385 1e-04
0.5 "si_trend" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "si_trend_cov" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "sia" 0.9378 0.0012 0.9376 0.0017 0.9385 1e-04
0.5 "sia_trend" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "siap" 0.9376 0.0011 0.9373 0.0015 0.9384 1e-04
