"pdt" "method" "mean_coverage" "se_coverage" "mean_coverage_w" "se_coverage_w" "mean_coverage_o" "se_coverage_o"
0.1 "gp" 0.9575 8e-04 0.9409 0.0014 0.976 3e-04
0.1 "marss" 0.0407 4e-04 0.0368 6e-04 0.0451 2e-04
0.1 "s1_si_trend" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.1 "si" 0.9457 9e-04 0.9453 0.0015 0.9463 1e-04
0.1 "si_trend" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.1 "si_trend_cov" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.1 "sia" 0.9456 9e-04 0.9451 0.0015 0.9463 1e-04
0.1 "sia_trend" 0.9458 9e-04 0.9453 0.0016 0.9463 1e-04
0.1 "siap" 0.9457 9e-04 0.9453 0.0015 0.9462 1e-04
0.3 "gp" 0.9517 8e-04 0.936 0.0012 0.9741 4e-04
0.3 "marss" 0.0446 4e-04 0.0407 6e-04 0.0502 2e-04
0.3 "s1_si_trend" 0.9442 9e-04 0.9443 0.0014 0.944 1e-04
0.3 "si" 0.9434 9e-04 0.943 0.0015 0.944 1e-04
0.3 "si_trend" 0.9441 9e-04 0.9442 0.0013 0.944 1e-04
0.3 "si_trend_cov" 0.9441 8e-04 0.9442 0.0014 0.944 1e-04
0.3 "sia" 0.9437 0.001 0.9435 0.0015 0.944 1e-04
0.3 "sia_trend" 0.9443 9e-04 0.9445 0.0014 0.944 1e-04
0.3 "siap" 0.9443 9e-04 0.9444 0.0014 0.944 1e-04
0.5 "gp" 0.9432 8e-04 0.9297 0.001 0.9702 3e-04
0.5 "marss" 0.0565 3e-04 0.052 5e-04 0.0656 2e-04
0.5 "s1_si_trend" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "si" 0.9382 0.0011 0.9381 0.0016 0.9385 1e-04
0.5 "si_trend" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "si_trend_cov" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "sia" 0.9378 0.0012 0.9376 0.0017 0.9385 1e-04
0.5 "sia_trend" 0.9376 0.001 0.9373 0.0015 0.9384 1e-04
0.5 "siap" 0.9376 0.0011 0.9373 0.0015 0.9384 1e-04
