method,pdt,repl,type,mrae
latc,0.1,1,overall,0.004291245101454831
latc,0.1,1,w,0.004258199788312075
latc,0.1,1,o,0.0043322757398824045
latc,0.1,10,overall,0.00434794655715125
latc,0.1,10,w,0.0044517002796005505
latc,0.1,10,o,0.004219668754277378
latc,0.1,100,overall,0.004157614706433765
latc,0.1,100,w,0.0040517942521122365
latc,0.1,100,o,0.004287843282332293
latc,0.1,11,overall,0.004245173518226286
latc,0.1,11,w,0.0041831350480492965
latc,0.1,11,o,0.004321263747611992
latc,0.1,12,overall,0.004237388427781902
latc,0.1,12,w,0.0041152862220659465
latc,0.1,12,o,0.00438754617908746
latc,0.1,13,overall,0.004413514394807618
latc,0.1,13,w,0.004539567073428836
latc,0.1,13,o,0.00425747060183435
latc,0.1,14,overall,0.004190295827742841
latc,0.1,14,w,0.004070908151241322
latc,0.1,14,o,0.004337975596479996
latc,0.1,15,overall,0.004364507050347133
latc,0.1,15,w,0.004461214633738351
latc,0.1,15,o,0.004244708322253155
latc,0.1,16,overall,0.004450017602081206
latc,0.1,16,w,0.0046226668684407985
latc,0.1,16,o,0.004236965369576462
latc,0.1,17,overall,0.004261417090783254
latc,0.1,17,w,0.004224400099174025
latc,0.1,17,o,0.004306855362448325
latc,0.1,18,overall,0.004181661900599584
latc,0.1,18,w,0.004107671742597316
latc,0.1,18,o,0.00427403170397349
latc,0.1,19,overall,0.0043726605231511695
latc,0.1,19,w,0.004452577570809168
latc,0.1,19,o,0.004273151939208605
latc,0.1,2,overall,0.0044993098799849555
latc,0.1,2,w,0.00467304381775171
latc,0.1,2,o,0.004284731779561503
latc,0.1,20,overall,0.004314359872043395
latc,0.1,20,w,0.004293015534364631
latc,0.1,20,o,0.004340885149260663
latc,0.1,21,overall,0.004379769019290838
latc,0.1,21,w,0.004518561677521424
latc,0.1,21,o,0.00420906397257721
latc,0.1,22,overall,0.004314303067450231
latc,0.1,22,w,0.00431093355453573
latc,0.1,22,o,0.004318486330132178
latc,0.1,23,overall,0.004212215034721793
latc,0.1,23,w,0.004126082191598176
latc,0.1,23,o,0.004317142963680477
latc,0.1,24,overall,0.004331884129516421
latc,0.1,24,w,0.004360211047361518
latc,0.1,24,o,0.00429719113544859
latc,0.1,25,overall,0.004402789264080116
latc,0.1,25,w,0.004475096789908828
latc,0.1,25,o,0.004315132266868322
latc,0.1,26,overall,0.00429266159332373
latc,0.1,26,w,0.004247373339710247
latc,0.1,26,o,0.004348339868046071
latc,0.1,27,overall,0.004310336033567225
latc,0.1,27,w,0.004275033404500101
latc,0.1,27,o,0.004354050042266822
latc,0.1,28,overall,0.004272052751243055
latc,0.1,28,w,0.004246107642254549
latc,0.1,28,o,0.004304067151522136
latc,0.1,29,overall,0.0043517083239102495
latc,0.1,29,w,0.004414645137193752
latc,0.1,29,o,0.004273806523929978
latc,0.1,3,overall,0.004393665570741804
latc,0.1,3,w,0.004467913363455225
latc,0.1,3,o,0.004302770867697602
latc,0.1,30,overall,0.004118071315655421
latc,0.1,30,w,0.004011607995436003
latc,0.1,30,o,0.004247552087575612
latc,0.1,31,overall,0.004208816651267727
latc,0.1,31,w,0.004091127802969427
latc,0.1,31,o,0.004355089744043967
latc,0.1,32,overall,0.004223960361207544
latc,0.1,32,w,0.004135900280651311
latc,0.1,32,o,0.004332248760564222
latc,0.1,33,overall,0.004175751909554386
latc,0.1,33,w,0.004057497334698376
latc,0.1,33,o,0.0043209115058089375
latc,0.1,34,overall,0.004306044643207278
latc,0.1,34,w,0.004305603192462851
latc,0.1,34,o,0.004306586771738693
latc,0.1,35,overall,0.004370501682738229
latc,0.1,35,w,0.00447680298155791
latc,0.1,35,o,0.004238770154670183
latc,0.1,36,overall,0.004327513656804097
latc,0.1,36,w,0.004346499623437435
latc,0.1,36,o,0.004304260937346092
latc,0.1,37,overall,0.00431305256500724
latc,0.1,37,w,0.004332291203287966
latc,0.1,37,o,0.0042895094072954824
latc,0.1,38,overall,0.004333053901316147
latc,0.1,38,w,0.004404921094261891
latc,0.1,38,o,0.004242335586297733
latc,0.1,39,overall,0.004242415542637528
latc,0.1,39,w,0.0041508892426105354
latc,0.1,39,o,0.004354681440974741
latc,0.1,4,overall,0.004402597586673106
latc,0.1,4,w,0.004475604181484909
latc,0.1,4,o,0.004313018567073996
latc,0.1,40,overall,0.004349833953657267
latc,0.1,40,w,0.004387209138606866
latc,0.1,40,o,0.004303648553979158
latc,0.1,41,overall,0.004345177024553009
latc,0.1,41,w,0.004349334839689547
latc,0.1,41,o,0.004340036688689647
latc,0.1,42,overall,0.004358402352237209
latc,0.1,42,w,0.004356218498695077
latc,0.1,42,o,0.004361114117856266
latc,0.1,43,overall,0.004433757160106584
latc,0.1,43,w,0.004527331761901202
latc,0.1,43,o,0.004317245993435022
latc,0.1,44,overall,0.0044805423088231395
latc,0.1,44,w,0.0047214286566856145
latc,0.1,44,o,0.00418333621970011
latc,0.1,45,overall,0.004248601848585772
latc,0.1,45,w,0.004124643010289249
latc,0.1,45,o,0.004400730620580108
latc,0.1,46,overall,0.00435853555657741
latc,0.1,46,w,0.004422016399939952
latc,0.1,46,o,0.00428040734186296
latc,0.1,47,overall,0.0043983604962241196
latc,0.1,47,w,0.004474953180427721
latc,0.1,47,o,0.004303187421022778
latc,0.1,48,overall,0.00435726456510279
latc,0.1,48,w,0.004365773719450049
latc,0.1,48,o,0.004346801593792089
latc,0.1,49,overall,0.004302976953617933
latc,0.1,49,w,0.004286565008579468
latc,0.1,49,o,0.004323278548820194
latc,0.1,5,overall,0.004328338519302759
latc,0.1,5,w,0.0043339436006628465
latc,0.1,5,o,0.004321522765993115
latc,0.1,50,overall,0.0042297387874454745
latc,0.1,50,w,0.004181321486199347
latc,0.1,50,o,0.00429011544212847
latc,0.1,51,overall,0.004327910558520621
latc,0.1,51,w,0.0043278107564632
latc,0.1,51,o,0.004328034035397871
latc,0.1,52,overall,0.004237141427194756
latc,0.1,52,w,0.004130926172425733
latc,0.1,52,o,0.004367325835700038
latc,0.1,53,overall,0.0043954929024911426
latc,0.1,53,w,0.00447114729451437
latc,0.1,53,o,0.004301769956037314
latc,0.1,54,overall,0.004411179740542133
latc,0.1,54,w,0.004525420704416249
latc,0.1,54,o,0.004269087739869863
latc,0.1,55,overall,0.004223053691793186
latc,0.1,55,w,0.004142071059366804
latc,0.1,55,o,0.004322822658197791
latc,0.1,56,overall,0.004319174134328796
latc,0.1,56,w,0.0043227794428074865
latc,0.1,56,o,0.004314681016642687
latc,0.1,57,overall,0.004247702249331895
latc,0.1,57,w,0.004192442051617357
latc,0.1,57,o,0.0043161681783718065
latc,0.1,58,overall,0.004307993896156751
latc,0.1,58,w,0.004277667844606981
latc,0.1,58,o,0.004345551419645376
latc,0.1,59,overall,0.004292972994440462
latc,0.1,59,w,0.0043260051493851604
latc,0.1,59,o,0.004252551035536869
latc,0.1,6,overall,0.004377572503519718
latc,0.1,6,w,0.004493340965734051
latc,0.1,6,o,0.004236910477322604
latc,0.1,60,overall,0.004325876674078831
latc,0.1,60,w,0.004252394446182134
latc,0.1,60,o,0.004417598309785135
latc,0.1,61,overall,0.004375086786113662
latc,0.1,61,w,0.004476509117867719
latc,0.1,61,o,0.004251251000912025
latc,0.1,62,overall,0.004307593683649191
latc,0.1,62,w,0.004342762476301551
latc,0.1,62,o,0.004264298202250112
latc,0.1,63,overall,0.004369041143828677
latc,0.1,63,w,0.004438822796965528
latc,0.1,63,o,0.004283004197880344
latc,0.1,64,overall,0.004274076438447277
latc,0.1,64,w,0.0042769822654099
latc,0.1,64,o,0.004270502173841139
latc,0.1,65,overall,0.004498063855737596
latc,0.1,65,w,0.004699237834912385
latc,0.1,65,o,0.004249908928549307
latc,0.1,66,overall,0.0043759241635268455
latc,0.1,66,w,0.004481329036997893
latc,0.1,66,o,0.004247846717674476
latc,0.1,67,overall,0.0042854303435162985
latc,0.1,67,w,0.004255475298780981
latc,0.1,67,o,0.004322556013947582
latc,0.1,68,overall,0.004428751342753988
latc,0.1,68,w,0.004583160406117169
latc,0.1,68,o,0.0042378751338087075
latc,0.1,69,overall,0.004405881239306284
latc,0.1,69,w,0.004525449346459159
latc,0.1,69,o,0.004256882310901342
latc,0.1,7,overall,0.004266171579467167
latc,0.1,7,w,0.004250477538764015
latc,0.1,7,o,0.004285402949088263
latc,0.1,70,overall,0.004195978440808846
latc,0.1,70,w,0.004064686832819607
latc,0.1,70,o,0.004357772820292191
latc,0.1,71,overall,0.004334255552272254
latc,0.1,71,w,0.004327237135896476
latc,0.1,71,o,0.004342835238177853
latc,0.1,72,overall,0.00435910588338383
latc,0.1,72,w,0.004400682103950345
latc,0.1,72,o,0.004307663646349267
latc,0.1,73,overall,0.004367172435233728
latc,0.1,73,w,0.004420945821556713
latc,0.1,73,o,0.004299839829234961
latc,0.1,74,overall,0.004384570214347067
latc,0.1,74,w,0.004466089001949575
latc,0.1,74,o,0.004283880372514807
latc,0.1,75,overall,0.004272935107017943
latc,0.1,75,w,0.004274088039709739
latc,0.1,75,o,0.004271511546929358
latc,0.1,76,overall,0.004272439938537554
latc,0.1,76,w,0.00417936425189163
latc,0.1,76,o,0.004386963015521998
latc,0.1,77,overall,0.0042006070353277775
latc,0.1,77,w,0.00410015633923265
latc,0.1,77,o,0.004323281186019339
latc,0.1,78,overall,0.004318351606594464
latc,0.1,78,w,0.00433823504182887
latc,0.1,78,o,0.004293525270286694
latc,0.1,79,overall,0.004185550479113201
latc,0.1,79,w,0.004102640665407742
latc,0.1,79,o,0.004288780009555916
latc,0.1,8,overall,0.004404269983515983
latc,0.1,8,w,0.00450550451537463
latc,0.1,8,o,0.004278815258489775
latc,0.1,80,overall,0.004390109437025668
latc,0.1,80,w,0.004525435842713494
latc,0.1,80,o,0.004223398266404731
latc,0.1,81,overall,0.004294282149023563
latc,0.1,81,w,0.004294578296877662
latc,0.1,81,o,0.004293924952577993
latc,0.1,82,overall,0.004495196014444925
latc,0.1,82,w,0.004648083175945816
latc,0.1,82,o,0.004304517539164622
latc,0.1,83,overall,0.004235429790601968
latc,0.1,83,w,0.004213693967063974
latc,0.1,83,o,0.00426236221986536
latc,0.1,84,overall,0.004185857339374316
latc,0.1,84,w,0.004094741048650962
latc,0.1,84,o,0.004296327571622997
latc,0.1,85,overall,0.004417503460739491
latc,0.1,85,w,0.004536920533773327
latc,0.1,85,o,0.004271419151762575
latc,0.1,86,overall,0.004521048609436837
latc,0.1,86,w,0.004739769080758549
latc,0.1,86,o,0.004251216605313812
latc,0.1,87,overall,0.004283087191210237
latc,0.1,87,w,0.004263379289407927
latc,0.1,87,o,0.004307696654831375
latc,0.1,88,overall,0.0043394099657390215
latc,0.1,88,w,0.004368551193498974
latc,0.1,88,o,0.004303324211286595
latc,0.1,89,overall,0.004266558117787779
latc,0.1,89,w,0.004213152686260629
latc,0.1,89,o,0.004332095977072066
latc,0.1,9,overall,0.004288565555169898
latc,0.1,9,w,0.004236194874746847
latc,0.1,9,o,0.0043529230068745225
latc,0.1,90,overall,0.004406219442503782
latc,0.1,90,w,0.004499027092014724
latc,0.1,90,o,0.004293014005809632
latc,0.1,91,overall,0.004372097317953202
latc,0.1,91,w,0.004430253428466667
latc,0.1,91,o,0.004300255667716483
latc,0.1,92,overall,0.004295153307469963
latc,0.1,92,w,0.0043144354524168385
latc,0.1,92,o,0.004271061031628832
latc,0.1,93,overall,0.004348950830196194
latc,0.1,93,w,0.00435111527039552
latc,0.1,93,o,0.004346270183395741
latc,0.1,94,overall,0.004307750192339475
latc,0.1,94,w,0.004267237616613143
latc,0.1,94,o,0.004357492002034516
latc,0.1,95,overall,0.0043452101759368185
latc,0.1,95,w,0.00439745036250282
latc,0.1,95,o,0.0042805526986039255
latc,0.1,96,overall,0.004304375952310749
latc,0.1,96,w,0.004329551167531796
latc,0.1,96,o,0.004273567142054036
latc,0.1,97,overall,0.004379327158798702
latc,0.1,97,w,0.004398297850448911
latc,0.1,97,o,0.004356085622640401
latc,0.1,98,overall,0.004378750017044127
latc,0.1,98,w,0.004460043520869631
latc,0.1,98,o,0.0042787520117078025
latc,0.1,99,overall,0.004244972570120392
latc,0.1,99,w,0.004196402797243807
latc,0.1,99,o,0.004304702660420246
latc,0.2,1,overall,0.004280351550322374
latc,0.2,1,w,0.004244401672319356
latc,0.2,1,o,0.004325189467393682
latc,0.2,10,overall,0.004299276382930351
latc,0.2,10,w,0.004314295532930139
latc,0.2,10,o,0.004280517716098982
latc,0.2,100,overall,0.004236991648963573
latc,0.2,100,w,0.004154173397936474
latc,0.2,100,o,0.004340180590402136
latc,0.2,11,overall,0.004254428205676325
latc,0.2,11,w,0.004168856678879389
latc,0.2,11,o,0.0043610652035210445
