method,pdt,repl,type,mrae
trmf,0.1,1,overall,0.26657789717236846
trmf,0.1,1,w,0.48121055847355937
trmf,0.1,1,o,7.973803691372377e-05
trmf,0.1,10,overall,0.25412901384989434
trmf,0.1,10,w,0.4595986542729205
trmf,0.1,10,o,9.288474976243535e-05
trmf,0.1,100,overall,0.2573630883039438
trmf,0.1,100,w,0.4664088573538379
trmf,0.1,100,o,9.96605902158991e-05
trmf,0.1,11,overall,0.2523695305547114
trmf,0.1,11,w,0.45806007914202557
trmf,0.1,11,o,8.992114736799511e-05
trmf,0.1,12,overall,0.2511630630655144
trmf,0.1,12,w,0.4553274769863587
trmf,0.1,12,o,8.758812864852936e-05
trmf,0.1,13,overall,0.2608268999211661
trmf,0.1,13,w,0.47144602467350105
trmf,0.1,13,o,9.616846384421856e-05
trmf,0.1,14,overall,0.25936724820452606
trmf,0.1,14,w,0.46897414482307576
trmf,0.1,14,o,8.841034267258652e-05
trmf,0.1,15,overall,0.26016142301790834
trmf,0.1,15,w,0.4701030647048872
trmf,0.1,15,o,9.141851456303768e-05
trmf,0.1,16,overall,0.25311929216473245
trmf,0.1,16,w,0.4581689565272016
trmf,0.1,16,o,8.439842946219058e-05
trmf,0.1,17,overall,0.25504096951768285
trmf,0.1,17,w,0.46275030817063506
trmf,0.1,17,o,7.823627570330963e-05
trmf,0.1,18,overall,0.2600570687211453
trmf,0.1,18,w,0.46829830253851934
trmf,0.1,18,o,8.733299681834287e-05
trmf,0.1,19,overall,0.2585231948457355
trmf,0.1,19,w,0.4660770877550361
trmf,0.1,19,o,8.779738765886553e-05
trmf,0.1,2,overall,0.25928862524871704
trmf,0.1,2,w,0.4691493534988583
trmf,0.1,2,o,9.046857160614317e-05
trmf,0.1,20,overall,0.2557495360210507
trmf,0.1,20,w,0.46147638567586946
trmf,0.1,20,o,8.633389893371413e-05
trmf,0.1,21,overall,0.25716487298863566
trmf,0.1,21,w,0.46618063571300694
trmf,0.1,21,o,9.042831252903779e-05
trmf,0.1,22,overall,0.25854290415845343
trmf,0.1,22,w,0.4667226739032958
trmf,0.1,22,o,8.69539937632136e-05
trmf,0.1,23,overall,0.2551135671416545
trmf,0.1,23,w,0.4644539926446939
trmf,0.1,23,o,9.287469986584176e-05
trmf,0.1,24,overall,0.26317535680963833
trmf,0.1,24,w,0.47798996364060153
trmf,0.1,24,o,8.504992200055913e-05
trmf,0.1,25,overall,0.25366082549574565
trmf,0.1,25,w,0.46282603674483763
trmf,0.1,25,o,9.325993799967176e-05
trmf,0.1,26,overall,0.2536641346795857
trmf,0.1,26,w,0.4599201901063385
trmf,0.1,26,o,8.886071985159974e-05
trmf,0.1,27,overall,0.25435457426736074
trmf,0.1,27,w,0.45969191946045806
trmf,0.1,27,o,9.253397971802301e-05
trmf,0.1,28,overall,0.25583341536514803
trmf,0.1,28,w,0.4630956395942589
trmf,0.1,28,o,8.672290984877151e-05
trmf,0.1,29,overall,0.2621011073620095
trmf,0.1,29,w,0.4737826469321203
trmf,0.1,29,o,8.63644034637301e-05
trmf,0.1,3,overall,0.2586783533283044
trmf,0.1,3,w,0.4699082218366346
trmf,0.1,3,o,8.916878194384898e-05
